goalie_id,adj_rebound_pct,regressed_gsax,rebound_control_z,rebound_control_score,primary_gsax_score,total_gar
8470594,0.0,-0.0085,-0.14893250281473772,0.14893250281473772,-0.0085,0.03872975084442132
8471734,0.0,1.6221,-0.14893250281473772,0.14893250281473772,1.6221,1.1801497508444212
8474593,0.0,-4.7578,-0.14893250281473772,0.14893250281473772,-4.7578,-3.2857802491555783
8474596,0.0,1.6981,-0.14893250281473772,0.14893250281473772,1.6981,1.2333497508444211
8475311,0.0,-0.7194,-0.14893250281473772,0.14893250281473772,-0.7194,-0.4589002491555787
8475660,0.0,-2.7132,-0.14893250281473772,0.14893250281473772,-2.7132,-1.8545602491555786
8475683,0.0,-5.9643,-0.14893250281473772,0.14893250281473772,-5.9643,-4.130330249155578
8475717,0.0,-2.1358,-0.14893250281473772,0.14893250281473772,-2.1358,-1.4503802491555788
8475809,0.0,-0.2594,-0.14893250281473772,0.14893250281473772,-0.2594,-0.1369002491555787
8475831,0.0,0.0867,-0.14893250281473772,0.14893250281473772,0.0867,0.10536975084442131
8475852,0.0,-1.1348,-0.14893250281473772,0.14893250281473772,-1.1348,-0.7496802491555786
8475883,0.0,-5.293,-0.14893250281473772,0.14893250281473772,-5.293,-3.6604202491555786
8476341,0.0,-0.7361,-0.14893250281473772,0.14893250281473772,-0.7361,-0.4705902491555787
8476412,0.0,-9.2374,-0.14893250281473772,0.14893250281473772,-9.2374,-6.421500249155577
8476434,0.0,-3.6437,-0.14893250281473772,0.14893250281473772,-3.6437,-2.5059102491555785
8476883,0.0,7.0585,-0.14893250281473772,0.14893250281473772,7.0585,4.985629750844422
8476899,0.0,0.0735,-0.14893250281473772,0.14893250281473772,0.0735,0.09612975084442131
8476914,0.068111,-2.5155,7.960358718324795,-7.960358718324795,-2.5155,-4.148957615497438
8476932,0.0,-3.9211,-0.14893250281473772,0.14893250281473772,-3.9211,-2.7000902491555787
8476945,0.0,4.4611,-0.14893250281473772,0.14893250281473772,4.4611,3.1674497508444213
8476999,0.0,-8.9875,-0.14893250281473772,0.14893250281473772,-8.9875,-6.246570249155578
8477424,0.0,0.1949,-0.14893250281473772,0.14893250281473772,0.1949,0.18110975084442132
8477465,0.0,1.656,-0.14893250281473772,0.14893250281473772,1.656,1.203879750844421
8477480,0.0,-2.0626,-0.14893250281473772,0.14893250281473772,-2.0626,-1.3991402491555789
8477967,0.0,2.337,-0.14893250281473772,0.14893250281473772,2.337,1.6805797508444213
8477968,0.0,-1.527,-0.14893250281473772,0.14893250281473772,-1.527,-1.0242202491555787
8477970,0.0,-0.9021,-0.14893250281473772,0.14893250281473772,-0.9021,-0.5867902491555786
8477992,0.0,-0.6543,-0.14893250281473772,0.14893250281473772,-0.6543,-0.41333024915557864
8478007,0.0,-5.6397,-0.14893250281473772,0.14893250281473772,-5.6397,-3.9031102491555787
8478009,0.0,4.4696,-0.14893250281473772,0.14893250281473772,4.4696,3.1733997508444207
8478024,0.0,0.1561,-0.14893250281473772,0.14893250281473772,0.1561,0.1539497508444213
8478048,0.0,2.7976,-0.14893250281473772,0.14893250281473772,2.7976,2.0029997508444213
8478406,0.0,2.1046,-0.14893250281473772,0.14893250281473772,2.1046,1.5178997508444212
8478435,0.0,1.7117,-0.14893250281473772,0.14893250281473772,1.7117,1.242869750844421
8478470,0.0,-6.8317,-0.14893250281473772,0.14893250281473772,-6.8317,-4.737510249155577
8478499,0.0,-0.5444,-0.14893250281473772,0.14893250281473772,-0.5444,-0.33640024915557865
8478872,0.0,0.4673,-0.14893250281473772,0.14893250281473772,0.4673,0.3717897508444213
8478916,0.0,-4.1775,-0.14893250281473772,0.14893250281473772,-4.1775,-2.8795702491555786
8478971,0.0,0.0096,-0.14893250281473772,0.14893250281473772,0.0096,0.05139975084442131
8479193,0.0,1.2125,-0.14893250281473772,0.14893250281473772,1.2125,0.8934297508444212
8479292,0.0,0.7741,-0.14893250281473772,0.14893250281473772,0.7741,0.5865497508444213
8479312,0.0,-1.3313,-0.14893250281473772,0.14893250281473772,-1.3313,-0.8872302491555786
8479361,0.0,0.9049,-0.14893250281473772,0.14893250281473772,0.9049,0.6781097508444213
8479394,0.0,-0.3886,-0.14893250281473772,0.14893250281473772,-0.3886,-0.22734024915557866
8479406,0.0,2.3594,-0.14893250281473772,0.14893250281473772,2.3594,1.696259750844421
8479496,0.0,0.0922,-0.14893250281473772,0.14893250281473772,0.0922,0.10921975084442131
8479973,0.0,-1.0166,-0.14893250281473772,0.14893250281473772,-1.0166,-0.6669402491555786
8479979,0.0,0.9206,-0.14893250281473772,0.14893250281473772,0.9206,0.6890997508444213
8480045,0.0,-0.9095,-0.14893250281473772,0.14893250281473772,-0.9095,-0.5919702491555786
8480051,0.0,-1.068,-0.14893250281473772,0.14893250281473772,-1.068,-0.7029202491555787
8480193,0.0,0.2117,-0.14893250281473772,0.14893250281473772,0.2117,0.19286975084442132
8480238,0.0,-0.3056,-0.14893250281473772,0.14893250281473772,-0.3056,-0.16924024915557867
8480280,0.0,7.3454,-0.14893250281473772,0.14893250281473772,7.3454,5.1864597508444215
8480313,0.0,5.2773,-0.14893250281473772,0.14893250281473772,5.2773,3.738789750844421
8480843,0.0,2.5972,-0.14893250281473772,0.14893250281473772,2.5972,1.862719750844421
8480947,0.0,-2.7734,-0.14893250281473772,0.14893250281473772,-2.7734,-1.8967002491555787
8480981,0.0,0.4706,-0.14893250281473772,0.14893250281473772,0.4706,0.3740997508444213
8481020,0.0,-2.1047,-0.14893250281473772,0.14893250281473772,-2.1047,-1.4286102491555785
8481033,0.0,0.5543,-0.14893250281473772,0.14893250281473772,0.5543,0.4326897508444213
8481035,0.0,-2.1875,-0.14893250281473772,0.14893250281473772,-2.1875,-1.4865702491555788
8481519,0.0,4.9504,-0.14893250281473772,0.14893250281473772,4.9504,3.509959750844421
8481529,0.0,-0.0838,-0.14893250281473772,0.14893250281473772,-0.0838,-0.013980249155578682
8481551,0.0,-2.013,-0.14893250281473772,0.14893250281473772,-2.013,-1.3644202491555786
8481611,0.0,-0.1143,-0.14893250281473772,0.14893250281473772,-0.1143,-0.03533024915557868
8481668,0.0,-3.7296,-0.14893250281473772,0.14893250281473772,-3.7296,-2.5660402491555785
8481692,0.0,-5.2138,-0.14893250281473772,0.14893250281473772,-5.2138,-3.6049802491555787
8482076,0.0,0.1163,-0.14893250281473772,0.14893250281473772,0.1163,0.1260897508444213
8482137,0.035714,-0.7988,4.103174009668962,-4.103174009668962,-0.7988,-1.7901122029006884
8482221,0.0,-0.032,-0.14893250281473772,0.14893250281473772,-0.032,0.022279750844421315
8482445,0.0,2.044,-0.14893250281473772,0.14893250281473772,2.044,1.475479750844421
8482447,0.0,-1.9032,-0.14893250281473772,0.14893250281473772,-1.9032,-1.2875602491555787
8482487,0.0,-3.8107,-0.14893250281473772,0.14893250281473772,-3.8107,-2.6228102491555787
8482661,0.0,4.1289,-0.14893250281473772,0.14893250281473772,4.1289,2.934909750844421
8482761,0.0,-1.5945,-0.14893250281473772,0.14893250281473772,-1.5945,-1.0714702491555788
8482783,0.0,-0.0127,-0.14893250281473772,0.14893250281473772,-0.0127,0.03578975084442132
8482821,0.0,-2.8836,-0.14893250281473772,0.14893250281473772,-2.8836,-1.9738402491555784
8482982,0.0,0.8572,-0.14893250281473772,0.14893250281473772,0.8572,0.6447197508444212
8483114,0.0,-0.3554,-0.14893250281473772,0.14893250281473772,-0.3554,-0.20410024915557867
8483548,0.0,0.3412,-0.14893250281473772,0.14893250281473772,0.3412,0.2835197508444213
8483703,0.0,0.0713,-0.14893250281473772,0.14893250281473772,0.0713,0.09458975084442131
8483710,0.0,1.5117,-0.14893250281473772,0.14893250281473772,1.5117,1.1028697508444212
8483746,0.0,-0.0681,-0.14893250281473772,0.14893250281473772,-0.0681,-0.0029902491555786753
8484268,0.0,0.4906,-0.14893250281473772,0.14893250281473772,0.4906,0.3880997508444213
